courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
277,CSCI,3090U,Computer Graphics and Visualization,Computer Science,"This course provides an introduction to computer graphics and visualization. Basic properties of display devices, graphics objects, and common graphics operations will be identified. The use of colour, texture, lighting, and perspective will be surveyed. Development using graphics packages, including GPU programming, will be introduced. The background for the development and use of visualization techniques is also covered.",3,3,,,"ENGR 4860U, SOFE 4860U",CSCI 2010U and (MATH 1850U or MATH 2050U ),1.5,Yes,,,,,,
278,CSCI,3150U,Computer Networks,Computer Science,"Network history and architectures; reference Model for Open Systems Interconnection (OSI): descriptions, examples, and applications; bridges, routers, gateways; routing, multicast deliver; TCP/IP protocol suite; transmission media (wired and wireless), network topologies (ring, bus, tree, star, mesh); local area networks, Ethernet, Token passing, wireless AN, personal LAN, WAN; communication network management; ATM and BISDN, the Internet: from services to security.",3,3,2,,SOFE 3850U (formerly ENGR 4650U),CSCI 2050U,3 (biweekly),Yes,,,,,,
279,CSCI,3230U,Web Application Development,Computer Science,"This course serves as an applied introduction to designing and developing web applications. Topics to be covered in this course include web architectures, client-side design and interactivity, server-side web page generation, accessing and updating database data, using web services/APIs, XML, and web security. Students will gain practical experience through the development of one or more web applications.",3,3,,,,CSCI 1030U or CSCI 1040U and students must have completed 53 credits in their program,1.5,Yes,,,,,,
280,CSCI,3310U,Systems Programming,Computer Science,"This course is an introduction to the basic concepts of operating systems and networking along with how to effectively use them in application development. Topics include resource management, concurrency, processes, memory management, file systems, network architectures and network based applications.",3,3,,,"CSCI 3020U , CSCI 3150U",CSCI 2020U and CSCI 2050U,1.5,Yes,,,,,,
281,CSCI,4020U,Compilers,Computer Science,This course provides a detailed study of the compilation process for a procedural language. Students will develop an understanding of compiler design and put these principles into practice through the construction of a fully functioning compiler for a small procedural language using widely available tools for compiler construction and a general-purpose programming language.,3,3,,,SOFE 3960U,CSCI 2050U,1.5,Yes,,,,,,
282,CSCI,4030U,Big Data Analytics,Computer Science,"This course covers advanced topics in data process and analytics with special emphasis on Big Data. Topics of the course will include, but are not limited to, indexing structures for fast information retrieval, query processing algorithms, distributed storage and processing, scalable machine learning and statistical techniques, and trends of modern very large scale data systems. Students will gain understanding on the theoretical foundation and practical design principles of modern Big Data processing systems.",3,3,,,,STAT 2010U and CSCI 3030U,1.5,Yes,,,,,,
283,CSCI,4040U,"Ethics, Law and the Social Impacts of Computing",Computer Science,"This course is an examination of the impact that computing has on society and the impact that society has on computing. The development of laws and social mechanisms has not kept pace with the rapid development and deployment of computing and computing devices in our society. The ethics to deal with this situation exist but are not widely studied by students of computing. Current issues, developments and trends in computing ethics and law will be examined. The impact that computing has on society will be examined in light of the need for professional ethics and appropriate laws and regulatory agencies.",3,3,,This course may be offered in a hybrid format with 1.5 hours of lectures and 1.5 hours online lectures and learning materials.,,Must have completed at least two years of a Computing Science program,,Yes,,,,,,
284,CSCI,4050U,"Machine Learning, Theory and Application",Computer Science,"Machine learning is a branch of Computer Science that enables machines to identify patterns, make predictions and organize data by synthesizing models of the world through learning.  In this course, we will cover the theory and application of machine learning.  We will provide a survey of the fundamental building blocks of machine learning covering areas such as general probabilistic models and parameter estimation, regression models, statistical data analysis, neural networks and neural computation.  We will place special emphasis on the application of the machine learning techniques in data representation, pattern recognition, classification and prediction.  Students will gain understanding and working knowledge on a wide range of machine learning algorithms including but not limited to: linear, logistic and auto – regression models; multidimensional scaling and PCA; deep learning with multilayer perceptrons and other neural networks, support vector machines, etc.",3,3,,,"CSCI 4610U , INFR 4320U , SOFE 3720U",(CSCI 3070U or equivalent) and (MATH 2050U or equivalent),1.5,Yes,,,,,,
285,CSCI,4060U,Massively Parallel Programming,Computer Science,"An advanced undergraduate course on programming for multicore and many-core systems. Programming approaches for systems with multiple central processing units (CPUs) will include programming with preprocessor directives (e.g., OpenMP), threads and actors. Programming approaches for systems with many graphical processing units (GPUs) will include programming with task and data parallelism (e.g., OpenCL, CUDA). This course will also discuss challenges in parallel programming including optimization and debugging.",3,3,,,,CSCI 3070U,1.5,Yes,,,,,,
286,CSCI,4100U,Mobile Devices,Computer Science,"This course is an introduction to developing applications for mobile devices such as mobile phones, tablets and wearables. It covers the hardware architecture of mobile devices, wireless networks, communications protocols, software architecture, and application design and development.",3,3,,,,CSCI 2020U,1.5,Yes,,,,,,
287,CSCI,4110U,Advanced Computer Graphics,Computer Science,"This is a second course in computer graphics that treats the concepts introduced in CSCI 3090U in more depth and introduces several advanced topics. The topics covered include graphics hardware, modelling techniques, local illumination techniques, global illumination techniques, Monte Carlo techniques, procedural textures, kinematics and dynamics for animation, procedural animation and graphical interaction. Modern software packages for computer graphics are an important part of the laboratory component. Students in the course will produce an animation or an interactive graphics application.",3,3,,,,CSCI 3090U,1.5,Yes,,,,,,
288,CSCI,4140U,Quantum Computing Software and Applications,Computer Science,"This course is an introduction to quantum computing with an emphasis on programming and algorithm development. Topics to be covered include quantum mechanics for quantum computing, hardware architectures, models of quantum computing, programming quantum computers and quantum computing algorithms.  Students will be exposed to at least one software development environment for quantum computing.",3,3,,,,CSCI 3070U OR MATH 3050U OR PHY 3020U,1.5,Yes,,,,,,
289,CSCI,4150U,Data Mining,Computer Science,"This course introduces the key concepts, principles and techniques in data mining. The following topics will be covered: data exploration, frequent pattern mining, classification methods (such as decision tree, and naïve Bayes), clustering algorithms and anomaly detection. The course provides students with the opportunity to have hands-on experience with data analytics tools and languages.",3,3,,,,CSCI 3070U  and STAT 2010U,1.5,Yes,,,,,,
290,CSCI,4160U,Interactive Media,Computer Science,"This course examines interactive applications outside the framework of the typical desktop application. The concentration is how user interaction is supported using different technologies and media. Topics covered include interactive web-based applications, Internet of Things, Wearable Technology, game development and interaction hardware.",3,3,,,,CSCI 2160U and CSCI 3090U,1.5,Yes,,,,,,
291,CSCI,4210U,Information Visualization,Computer Science,"This course introduces the emerging fields of information visualization and visual analytics through the principles of data representation, presentation, and interaction. The course will survey best practices for visualization design, data selection and cleaning, common visualization techniques, layout algorithms, animation, uncertainty, visual emphasis, aesthetics, visualization toolkits, and the role of interaction in the analytics process. The importance of visualization in managing, analyzing, and communicating about big data in science, medicine, business, and the humanities will be reviewed. Students will gain practical experience through the development of one or more information visualization applications for real-world data.",3,3,,,,CSCI 3030U,1.5,Yes,,,,,,
292,CSCI,4220U,Computer Vision,Computer Science,"This course introduces students to computer vision – the science and technology to make computers “see”. The goal of computer vision is to develop computational machinery to extract useful information from images and videos. The course will study various steps of the overall image analysis pipeline. Topics covered will include: image formation, image representation, segmentation, feature extraction, motion analysis, object detection, camera calibration, and 3D reconstruction. A secondary focus of this course will be on applications computer vision, including mobile vision, which rely heavily upon the fundamental theory and techniques covered in this course. ",3,3,,,,CSCI 2010U and MATH 2050U,1.5,Yes,,,,,,
293,CSCI,4310U,Advanced Operating Systems Project,Computer Science,"This course is a detailed examination of the implementation of a particular operating system. Students are expected to become familiar with the source code for the operating system and be able to add or modify functionality. Topics covered could include device drivers, system calls, inter process communications and network implementation.",3,1.5,,,,CSCI 3020U  or CSCI 3310U,3,Yes,,,,,,
294,CSCI,4410U,Computer Science Thesis Project I,Computer Science,"The thesis project provides students with the opportunity, under the supervision of a faculty member, to integrate and synthesize knowledge gained throughout their program of study and to satisfy specific objectives and requirements. The project may comprise an individual or group design project or an individual research project that has been approved by the supervising faculty member. Once all work has been completed, each student must submit a thesis and make a presentation based on their project in the following semester.",3,,,Students are expected to take CSCI 4420U in the following semester.,,Completed 90 credit hours of their program and six third-year courses. Student must also obtain prior consent of a faculty member.,,Yes,,,9,,,
295,CSCI,4420U,Computer Science Thesis Project II,Computer Science,A continuation of the project started in CSCI 4410U . Students will make presentations and submit a written thesis based on their project.,3,,,Students are expected to take this course immediately following CSCI 4410U .,,CSCI 4410U,,Yes,,,9,,,
296,CSCI,4430U,Directed Studies in Computer Science,Computer Science,"This course requires independent research of a current topic in a specialized area of computing science. The topic will be selected from recent research literature and involve a review and critical appraisal of underlying theory and practice. The course comprises independent research, participation in weekly meetings, and written and oral presentations.",3,1,,,,Students must have completed 90 credits in their Computer Science program and must be in clear standing. Students must also obtain prior consent of a faculty member.,,,,,,,,
297,CSCI,4610U,Artificial Intelligence,Computer Science,This course introduces students to the fundamental concepts and techniques of artificial intelligence. Topics include: fundamental definitions and philosophical questions; search and constraint satisfaction; knowledge representation and reasoning; advanced search techniques; agents; machine learning and neural networks; AI planning systems.,3,3,1.5,,SOFE 3720U,STAT 2010U and CSCI 3070U,,,,,,,,
298,CSCI,4620U,Human-Computer Interaction,Computer Science,"This course provides an introduction to human-computer interaction (HCI), with emphasis placed on understanding human behaviour with interactive objects, general knowledge of HCI design issues, and a human-centered approach to software design. The course will stress the design of usable interfaces, including the consideration of cognitive factors and social contexts within which computer systems are used. Students will receive an introduction to HCI while applying this theory to a design project.",3,3,,,"ENGR 4850U, SOFE 4850U",CSCI 2040U or CSCI 3040U,1.5,Yes,,,,,,
299,CRMN,1000U,Introduction to Criminal Justice,Criminology and Justice,"This course provides an analysis of historical and contemporary theory and practices of the criminal justice system. In addition to an analysis of crime data, the course will also examine the role and function of each component of the criminal justice system: the police, the court system, corrections, prisons and alternatives to prisons.",3,3,,,SSCI 1000U,,,,,,,,,
300,CRMN,2010U,Criminal Law,Criminology and Justice,"This course examines the nature, purpose, scope, sources and basic principles of criminal law within their historical and contemporary context. Among the topics are the constitutional foundations and due process of law, offences under the Criminal Code, available defences and principles of sentencing. The impact of law on various groups in society and the role of law in social control and social change will also be discussed. Students will gain substantive knowledge of Canadian criminal law as well as develop a critical perspective on issues of criminal law.",3,3,,,SSCI 2010U,LGLS 1000U,,Yes,,,,,,
301,CRMN,2021U,Families and the Justice System,Criminology and Justice,"The purpose of this course is to introduce the student to problems in the family and their relation to the justice system. In addition to gaining knowledge of the theoretical perspectives used to study the family, the student will also learn about such issues as the relation between family and work, parenting, family interactions, and legal issues within the family. The legal issues to be discussed include family violence, divorce and remarriage, and the creation of social policies as they impact on the family.Formerly: SSCI 2021U – Issues in the Family",3,3,,,,SOCI 1000U or PSYC 1000U,,,,,,,,
302,CRMN,2030U,Social Control,Criminology and Justice,"This course will examine theoretical and empirical approaches to the study of social control, which might be understood as the ways in which societies respond to behaviour deemed inappropriate, deviant, or even criminal. Our focus will be on both informal and formal methods of social control, and the inter-relationship among them. We will discuss the cultural, structural, political, and ideological forces that have sustained and transformed both systems of social control during modernity and late modernity. Particular attention will be paid to the ways in which identity (e.g., race, class and gender) shapes one’s relationship to these mechanisms of social control.",3,3,,,SSCI 2030U,SOCI 1000U and CRMN 1000U,,,,,,,,
303,CRMN,2031U,Rethinking Justice: Alternative Approaches,Criminology and Justice,"Western criminal jurisprudence has been critiqued as ignoring the needs of victims, emphasizing retributive at the expense of rehabilitative goals and creating an economic burden through increasingly punitive sentencing patterns. This course offers a critical examination of alternative interventions in conflict and crime. Students will evaluate methods of intervention such as negotiation, mediation, arbitration, debriefing, crisis/conflict management and group process facilitation, and their potential for addressing social problems marked by human conflict, oppression, power and harm, e.g., partner abuse, hate crimes.",3,3,,,"SSCI 2031U, SSCI 4031U",CRMN 1000U,,Yes,,,,,,
304,CRMN,2040U,Decolonizing Criminology,Criminology and Justice,"For decades, mainstream criminology has centred on the experience of the Global North, privileging a Eurocentric lens and excluding the voices and experiences of those from marginalized and oppressed populations. This course challenges the mainstream current of criminology by placing the spotlight on how colonial power structures have historically, and in the present day, continue to contribute to the oppression of marginalized citizens within the justice system and the wider social structure. With respect to both content and delivery, this course centres its focus upon the voices and life perspectives of Black, Indigenous, and additional persons of colour (BIPOC). Students will engage postcolonial theoretical perspectives and be introduced to the ways in which decolonizing methodologies are used by anti-colonial criminologists in the study of crime and justice. Attention will be paid to the scholarship and experiences of those living and working in the Global South, which have largely been invisible in mainstream criminology. This course will highlight Black and Indigenous activism, resilience, and power.",3.0,3.0,,,,CRMN 2850U,,,,,,,,
305,CRMN,2050U,Rights and Wrongs in the Justice System,Criminology and Justice,"Recent international and local events have focused renewed attention on human rights and their abuses. This course will explore criminal injustice and rights violations within criminal justice systems at home and abroad. Topics may include wrongful conviction, the War on Terror, mandatory minimums, racial profiling, police and prosecutorial misconduct, and other current challenges.",3,3,,,SSCI 2050U,CRMN 1000U or LGLS 1000U,,,,,,,,
306,CRMN,2830U,Theories of Justice,Criminology and Justice,"This course considers social and political theories, law and justice, and their implications for policy development in the justice system. It explores the diverse nature of theories concerning crime and deviance by focusing on modern and post-modern variants. The selected paradigms are studied with regard to their explanatory domain, role in examining social and criminological problems, and the development of policies.",3,3,,,"PSYC 2830U, SSCI 2830U",(CRMN 1000U or LGLS 1000U ) and (SOCI 1000U or PSYC 1000U ),,,,,,,,
307,CRMN,2831U,Critical Race Theory,Criminology and Justice,"Critical race theory, a term unknown two decades ago, is now a field with a growing interest, vocabulary and literature. This course will consider the history, theoretical underpinnings and implications of Critical Race Theory (CRT). Students will read some of the seminal texts in CRT, as well as some of its precursors. Beginning with readings in legal literature, we will then venture into theoretical constructs in feminism and postmodernism that inform CRT.",3,3,,,SSCI 2831U,SOCI 1000U and CRMN 1000U,,,,,,,,
308,CRMN,2840U,"Gender, Sex, and (In)Justice",Criminology and Justice,"What does sex, sexuality and gender have to do with justice? What are the justice implications of the ways that we think and talk about sex, sexuality and gender? This course traces the relationship between sex, sexuality, gender and various modes of regulation and governance. Drawing on feminist, historical, criminological and socio-legal frameworks, this course examines how sex, sexuality and gender have been historically and currently constructed, and the social and justice consequences of these constructions. Topics of exploration may include: media representations, rape culture, sex work, non-consensual pornography and anti-LGBTQ violence.",3,3,,,SSCI 2840U,SOCI 1000U,,,,,,,,
309,CRMN,2850U,Classical Theories of Crime,Criminology and Justice,"This course introduces students to the classical canon of criminological theory, including the broader sociological theories from which they are derived. Grounded within a socio-historical context, the course will survey the major criminological theories that have arisen from the Enlightenment through to the post-World War Two period. Particular emphasis will be placed on the critical analysis of classical theories as well as its historical and contemporary application. This course will also discuss the fundamentals of good theory building and testing in order to prepare students for more advanced course work.",3,3,,,SSCI 2810U,CRMN 1000U,,,,,,,,
310,CRMN,3010U,Social Justice/Criminal Justice,Criminology and Justice,"There can be no true criminal justice without social justice, that is, without an ethos that challenges inequality and values diversity. Students will think critically about the ways in which identity, culture, institutions and power shape the lived experiences of diverse communities, especially within the context of criminal justice. This course ends with a consideration of social action in the interests of social justice. ",3,3,,,SSCI 3010U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
311,CRMN,3023U,Family Violence,Criminology and Justice,"The course will cover the history of family violence as a social problem; its dynamics, prevalence and outcomes; critical issues in conducting and interpreting research around victims within familial settings and relationships; media representations of violence against family members; the intersection of violence and social categories; violence related services as they relate to family members as victims; and contemporary family violence policy.",3,3,,,SSCI 3023U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
312,CRMN,3024U,Criminal Gangs,Criminology and Justice,"This course examines the variety and extent of criminal gang activity. It will offer an analysis of the definitions of gangs, theoretical models used in the study of gangs, the social context that leads to gang formation, variations in gang structures and purposes, and various methods for controlling and policing gangs in Canada and elsewhere.",3,3,,,SSCI 3024U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,Yes,,,,,,
313,CRMN,3025U,Victimology,Criminology and Justice,"This course will take an integrated approach to victimization examining the scope and impact of crime on victims as well as the experience of victimization as a whole. An historical review of the role of the victim, the evolution of victims’ rights in Canada, and formal and informal responses to victimization will be studied.",3,3,,,SSCI 3025U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
314,CRMN,3026U,Organized Crime,Criminology and Justice,"This course is designed to identify the nature and issues of organized crime in all societies. Taking a transnational perspective, it will conduct a critical analysis of the various types of organized criminal activity. The analysis will be grounded in theory and an applied research approach, which will emphasize a multidisciplinary approach to identifying and recommending solutions to the problem. It will examine jurisdictional issues as well as consider a multidisciplinary approach to the issue. ",3,3,,,SSCI 3026U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
315,CRMN,3027U,"Delinquency, Deviance, and Youth Crime",Criminology and Justice,"Youth and young adults occupy a unique place in society that shapes how and why they commit crime, but also how society reacts to those offences. This course considers the history of juvenile justice in Canada, including when we started treating young people differently than adult offenders and the evolution of youth criminal justice legislation. It also considers different issues related to youthful offending and deviance including media representations, substance use, gang involvement, homelessness and offending within schools.",3,3,,,SSCI 3027U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
316,CRMN,3028U,Women in the Criminal Justice System,Criminology and Justice,"This course examines issues impacting women in the criminal justice system. It examines a wide range of issues ranging from women as victims of crime, to women as criminal offenders, to women as police and other types of criminal justice workers.",3,3,,,SSCI 3028U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,Yes,,,,,,
317,CRMN,3035U,Crime and Media,Criminology and Justice,"This course critically examines media representations of crime and its enforcement. In particular, it documents how crime-related issues (explanations of criminal behaviour, patterns of offending and victimization, criminal justice policy, etc.) are depicted within various media formats (journalism, popular culture, reality-based programming, social media) and the potential effects of such dynamics, whether in relation to audience behaviour, popular stereotypes, fear of crime, or support for particular policy interventions.",3,3,,,SSCI 3035U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
318,CRMN,3038U,Serial and Mass Homicide,Criminology and Justice,"This course will examine one of the relatively rare forms of multiple murders: serial and mass homicide. It will explore the scope and nature of serial and mass homicides, their characteristics as homicide events, in addition to the various theories and typologies of individuals who have committed such crimes. This course will also seek to develop a better understanding of the offenders and victims involved in serial and mass homicides as well as the way these crimes are represented in mass media. The methods used to detect and apprehend these types of criminals will also be discussed.",3,3,,,SSCI 3038U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
319,CRMN,3040U,Restorative Justice,Criminology and Justice,"This course provides an introduction and exposure to the principles of restorative justice (RJ) and its application to the treatment of human suffering whether as a result of crime or some other harm. In this model, harms such as crime are viewed as wrongs against another person and indicative of a broken relationship between the offender, victim and community. The course examines the needs and roles of key stakeholders (victims, offenders, communities, justice systems), and outlines the history and primary models of RJ practice. Students will examine the empirical evidence for restorative justice, as well as the challenges of creating and sustaining restorative environments, initiatives and resources to support communities in developing safer, healthier and sustainable relationships.",3,3,,,"PSYC 3040U, SSCI 3040U",(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,Yes,,,,,,
320,CRMN,3045U,Terrorism,Criminology and Justice,"This course will explore theoretical practical issues related to understanding terrorism and the state, and public responses to it. It will review theoretical and methodological issues in the study of terrorism; social, political and economic roots of terrorism; and the representation of narratives of terror and counter-terror. This course will conclude with a critical examination of strategies used in the control of terrorist activities and the implication these have for public safety and for human rights.",3,3,,,SSCI 3045U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
321,CRMN,3050U,Police and Society,Criminology and Justice,"This course examines the contemporary shifts in the institutions, strategies and practices of policing in North America and other parts of the world. The culture of policing is viewed theoretically and practically in relation to their broader social, political and economic context with particular emphasis placed on how these developments have been understood and explained by various scholars. The future challenges and prospects for policing, as well as the implications for democratic values such as justice, equality and civil liberty, are considered.",3,3,,,SSCI 3050U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
322,CRMN,3056U,Race-ing Justice,Criminology and Justice,"This course explores the disparate experiences of ethnic and racial minorities within the criminal justice system. Emphasis will be placed on the dual processes of the criminalization of race and the racialization of crime. Together, the professor and the students will assess and critique the relationship between race and criminal offending, victimization, policing and disposition.",3,3,,,SSCI 3056U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
323,CRMN,3060U,Punishment and Society,Criminology and Justice,"This course is a review of punishment sanctioned and undertaken by the state. It examines important philosophical questions about all forms of punishment, regulation and control. It will review the historical debates about punishment, and will map out the political struggles and cultural shifts that led to the establishment of prisons as the pre-eminent modern form of punishment. In addition, it will consider not only how prisons are administered but how they are experienced. Finally, the course will consider non-punitive responses to wrongdoing and rule breaking.",3,3,,,SSCI 3060U,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
324,CRMN,3301U,Green Criminology and Eco-Justice,Criminology and Justice,"Green criminology is a rapidly developing field within criminology. It developed out of a concern by researchers for environmental crime and the harms that it produces. Green criminology explores the ways in which governments, corporations and ordinary people harm environments, humanity and animals. Students who successfully complete the course will develop an in-depth understanding of what we mean by ‘green criminology’, be able to think critically about emerging issues in green criminology and be able to assess the policies which currently govern environmental crimes. Topics include climate change, environmental disasters, animal welfare, animal trafficking, green washing, food crime and Indigenous environmentalism. ",3,3,,,,(SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U or POSC 2200U ),,,,,,,,
325,CRMN,3401U,Indigenous Peoples and Justice,Criminology and Justice,"This course will focus on the experiences of Indigenous peoples and justice in Canada and Turtle Island (North America) and around the world using a decolonizing lens that prioritizes and privileges the voices of Indigenous scholars, activists, and allies. Specific topics that will be explored include but are not limited to:  systemic and institutional racism; environmental justice; racial profiling; over-incarceration; treaty breaking; residential schools; conditions on reserves and the remote northern territories; and the Truth and Reconciliation Commission. Criminal justice policy reforms based on Indigenous principles such as sentencing circles and Family Group Conferences will be examined. Students will be introduced to Indigenous justice systems, with attention given to different Indigenous nations’ and communities’ approaches. This course will highlight Indigenous activism, resilience, and power.",3.0,3.0,,,,3rd year standing in Criminology & Justice,,,,,,,,
326,CRMN,3850U,Contemporary Theories of Crime,Criminology and Justice,"Criminological theory has undergone remarkable change since the 1960s, corresponding to rapid social economic, cultural and political change. This course explores the emerging questions and ideas that have shaped modern criminological thought. Attention is paid to the contexts that shape the emergence and reception of criminological theories since the 1960s, and to the modes of social intervention that different criminological perspectives expressly or implicitly propose. Central to the course is the development of competency in applying these perspectives to contemporary issues.",3,3,,,SSCI 2810U,CRMN 2850U and SSCI 2900U,,Yes,,,,,,
327,CRMN,4000U,Advanced Justice Studies,Criminology and Justice,"This capstone course will provide an opportunity for critical analysis of specific justice topics. Students will be expected to synthesize material from previous courses and apply it to a social justice issue, demonstrating significant mastery of justice concepts, theory and research.",3,3,,,SSCI 4000U,Fourth-year standing in Criminology and Justice,,Yes,,,,,,
328,CRMN,4001U,Special Topics in Criminology and Justice,Criminology and Justice,"This writing intensive course explores specific criminology and justice related topics. Using knowledge of criminological theories, quantitative or qualitative methods, or policy analysis, students will be expected to produce a sufficiently new empirical finding or a theoretical/conceptual/policy claim. This course provides students the opportunity to synthesize and integrate knowledge from previous coursework into a substantive final paper that is consistent with a faculty member’s specific area of research expertise and topical focus.",3,3,,,,"Fourth-year standing in the Faculty of Social Science and Humanities, CRMN 2850U and at least one 3000-level CRMN course.",,Yes,,,,,,
329,CRMN,4020U,Corporate Crime,Criminology and Justice,"This course provides students with an introduction to the area of corporate crime. It will introduce students to the various types of occupational and organizational deviance and offending, as well as their associated scholarship. In addition to reviewing and applying both general theories of crime and those specific to white-collar offending, students will be introduced to real-world case studies in order to situate the various concepts and ideas discussed in class.",3,3,,,"SSCI 3020U, CRMN 3020U",(one of SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (one of SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U ),,,,,,,,
330,CRMN,4021U,Cybercrime,Criminology and Justice,"Cybercrime is an expansive concept that typically relates to crimes committed through, on, or involving the internet, but also increasingly applies to internet connected devices. This course approaches cybercrime from a sociological perspective, exploring topics such as offender motivation, organization, and societal and criminal justice responses. The course also critically interrogates the nature, extent and scope of cybercrime (and deviance), considering whether and to what extent formal and informal reactions are appropriate and warranted. The changing landscape of digital life is also explored, particularly as it relates to the intersection between private, public and institutional use of technology, vulnerabilities, and criminal behavior/victimization. ",3,3,,,"SSCI 3021U, CRMN 3021U",(one of SSCI 2900U or SSCI 2910U or SSCI 2920U or LGLS 2940U ) and (one of SSCI 2810U or CRMN 2830U or CRMN 2850U or LGLS 2200U or PSYC 2030U ),,,,,,,,
331,CRMN,4022U,Hate Crime,Criminology and Justice,"As message crimes, hate crimes have dramatic impacts not just on individual victims but on broader communities and inter-cultural relationships. They also challenge core values of inclusion and equity. This course will assess the contexts and consequences of hate crime, focusing attention on the ways in which individual and social dynamics shape hate crime. Students will also engage in a critical assessment of the strategies intended to counter hate.",3,3,,,SSCI 3022U and CRMN 3022U,"Fourth-year standing in Faculty of Social Science and Humanities, CRMN 2850U , and at least one 3000-level CRMN course",,,,,,,,
332,CRMN,4023U,Intimate Partner Violence,Criminology and Justice,"This course provides an overview of intimate partner violence (IPV). The course emphasizes obstacles in determining rates of prevalence; theories and research as to etiology, especially with regard to gender, sexual identity, diversity and multicultural concerns; and individual and societal intervention and prevention efforts. This course will examine a multitude of issues surrounding IPV including men’s violence against women, female perpetrators, same-sex partner violence and adolescent relational violence. This course will also examine responses to, and prevention of, IPV including both formal and informal responses to this phenomenon.",3,3,,,,Fourth-year standing in Faculty of Social Science and Humanities and CRMN 3023U .,,,,,,,,
333,CRMN,4032U,Mediation and Conflict Resolution,Criminology and Justice,"Conflict is inevitable, but it does not have to be debilitating for individuals and organizational/social systems. Mediation is a crucial means to reaching peaceful and agreed solutions in today’s world—on an international, political, industrial, peace-keeping or social level. This course explores the theory and practice of dispute resolution and mediation. Students gain a broad understanding of mediation and negotiation strategies, learn skills that lead to great success in managing conflict, and develop confidence in the mediation process as an effective means for resolving interpersonal, organizational and community disputes.",3,3,,,SSCI 4032U,Fourth-year standing in Faculty of Social Science and Humanities or third-year standing in Legal Studies.,,,,,,,,
